GameDuration,teamDiffAssists,teamDiffAvgLevel,teamDiffCSPerMin,teamDiffDeaths,teamDiffDragons,teamDiffEliteMonsters,teamDiffGoldPerMin,teamDiffHeralds,teamDiffKills,teamDiffTotalExperience,teamDiffTotalGold,teamDiffTotalJungleMinionsKilled,teamDiffTotalMinionsKilled,teamDiffTowersDestroyed,teamDiffWardsDestroyed,teamDiffWardsPlaced,EarlyGameLead
32.0,3,0.20000000000000018,0.1999999999999993,3,0,0,64.29999999999995,0,3,8,643,19,2,0,4,13,1
19.0,3,0.20000000000000018,6.600000000000001,0,1,2,290.79999999999995,1,0,1173,2908,9,66,1,0,0,1
32.0,10,0.39999999999999947,1.6999999999999993,4,1,1,117.20000000000005,0,4,1033,1172,18,17,0,3,0,1
23.0,5,0.0,3.3999999999999986,1,0,1,132.0999999999999,1,1,7,1321,8,34,0,1,28,1
27.0,1,0.0,1.5,0,1,1,100.40000000000009,0,0,230,1004,10,15,0,2,58,1
30.0,4,0.0,0.3999999999999986,2,1,1,69.80000000000018,0,2,101,698,17,4,0,5,18,0
23.0,2,0.39999999999999947,6.100000000000001,1,1,1,241.10000000000014,0,1,1563,2411,18,61,0,2,39,1
24.0,8,0.1999999999999993,5.199999999999999,8,1,1,261.5,0,8,800,2615,6,52,0,2,1,1
29.0,3,0.0,5.100000000000001,0,1,2,197.9000000000001,1,0,771,1979,8,51,0,1,1,1
32.0,1,0.0,2.6999999999999993,1,1,1,154.79999999999995,0,1,1574,1548,4,27,0,1,3,0
21.0,1,0.6000000000000005,1.5,0,1,1,33.100000000000136,0,0,1585,331,23,15,0,1,5,1
31.0,2,0.0,3.1000000000000014,0,0,1,150.5,1,0,635,1505,12,31,0,1,16,0
28.0,10,0.6000000000000005,0.1999999999999993,6,1,1,327.4000000000001,0,6,1659,3274,3,2,0,0,6,1
16.0,10,0.6000000000000005,1.8999999999999986,5,0,1,341.39999999999986,1,5,1141,3414,1,19,0,0,6,1
26.0,1,0.20000000000000018,1.8000000000000007,0,0,0,47.0,0,0,187,470,3,18,0,2,87,0
25.0,10,0.40000000000000036,2.8000000000000007,4,0,0,199.5999999999999,0,4,1804,1996,2,28,0,2,1,1
23.0,6,0.7999999999999998,5.300000000000001,8,1,1,522.8,0,8,3378,5228,8,53,0,1,1,1
36.0,3,0.0,1.5,4,0,1,197.5,1,4,1345,1975,1,15,0,11,26,1
42.0,8,0.20000000000000018,1.5,1,1,2,88.20000000000005,1,1,512,882,3,15,0,1,2,1
20.0,4,0.40000000000000036,3.099999999999998,4,0,0,315.5,0,4,2773,3155,8,31,0,2,4,1
